date,mean
2025-10-28,1.58
2025-10-29,1.74
2025-10-30,1.5
2025-10-31,1.81
2025-11-01,1.13
2025-11-02,1.86
2025-11-03,1.94
2025-11-04,1.85
2025-11-05,1.88
2025-11-06,1.53
2025-11-07,1.53
2025-11-08,1.58
2025-11-09,1.27
2025-11-10,0.98
2025-11-11,1.45
2025-11-12,1.69
2025-11-13,1.69
2025-11-14,0.67
2025-11-15,0.64
2025-11-16,0.64
2025-11-17,0.88
2025-11-18,1.58
2025-11-19,0.98
2025-11-20,1.3
2025-11-21,1.43
2025-11-22,1.26
2025-11-23,1.11
2025-11-24,0.56
2025-11-25,1.42
2025-11-26,1.29
2025-11-27,1.09
2025-11-28,0.93
2025-11-29,0.77
2025-11-30,1.43
2025-12-01,1.02
2025-12-02,1.02
2025-12-03,0.92
2025-12-04,1.05
2025-12-05,0.6
2025-12-06,0.89
2025-12-07,0.81
2025-12-08,0.92
2025-12-09,0.81
2025-12-10,0.55
2025-12-11,0.69
2025-12-12,0.42
2025-12-13,1.24
2025-12-14,1.18
2025-12-15,0.5
2025-12-16,0.73
2025-12-17,0.88
2025-12-18,0.77
2025-12-19,0.61
2025-12-20,0.72
2025-12-21,0.64
2025-12-22,0.64
2025-12-23,0.52
2025-12-24,0.69
2025-12-25,0.84
2025-12-26,0.71
2025-12-27,1.02
2025-12-28,0.82
2025-12-29,0.65
2025-12-30,0.67
2025-12-31,0.74
2026-01-01,0.53
2026-01-02,1.21
2026-01-03,0.61
2026-01-04,0.98
2026-01-05,1.44
2026-01-06,1.26
2026-01-07,0.54
2026-01-08,0.45
2026-01-09,1.07
2026-01-10,0.75
2026-01-11,0.5
2026-01-12,0.72
2026-01-13,0.56
2026-01-14,0.62
2026-01-15,0.48
2026-01-16,0.49
2026-01-17,0.76
2026-01-18,0.91
2026-01-19,1.21
2026-01-20,0.79
2026-01-21,0.75
2026-01-22,0.57
2026-01-23,0.59
2026-01-24,0.88
2026-01-25,0.63
2026-01-26,0.6
2026-01-27,1.04
2026-01-28,1.67
2026-01-29,0.49
2026-01-30,1.11
2026-01-31,1.3
2026-02-01,0.57
2026-02-02,1.09
2026-02-03,0.85
2026-02-04,0.55
2026-02-05,1.43
2026-02-06,1.23
2026-02-07,1.35
2026-02-08,1.36
2026-02-09,0.62
