date,mean
2025-10-28,1.33
2025-10-29,1.14
2025-10-30,1.13
2025-10-31,0.94
2025-11-01,0.95
2025-11-02,1.06
2025-11-03,1.18
2025-11-04,2.1
2025-11-05,1.84
2025-11-06,1.16
2025-11-07,1.16
2025-11-08,0.95
2025-11-09,1.01
2025-11-10,0.83
2025-11-11,1.48
2025-11-12,1.78
2025-11-13,1.78
2025-11-14,0.95
2025-11-15,0.89
2025-11-16,0.89
2025-11-17,0.86
2025-11-18,0.91
2025-11-19,0.89
2025-11-20,0.92
2025-11-21,0.86
2025-11-22,0.73
2025-11-23,0.66
2025-11-24,0.9
2025-11-25,0.77
2025-11-26,0.72
2025-11-27,0.68
2025-11-28,0.63
2025-11-29,0.67
2025-11-30,0.86
2025-12-01,0.95
2025-12-02,0.95
2025-12-03,0.59
2025-12-04,0.82
2025-12-05,0.6
2025-12-06,0.7
2025-12-07,0.76
2025-12-08,1.11
2025-12-09,1.09
2025-12-10,0.64
2025-12-11,0.69
2025-12-12,0.58
2025-12-13,0.85
2025-12-14,0.77
2025-12-15,0.61
2025-12-16,0.78
2025-12-17,0.57
2025-12-18,0.92
2025-12-19,0.59
2025-12-20,0.68
2025-12-21,0.5
2025-12-22,0.56
2025-12-23,0.69
2025-12-24,0.67
2025-12-25,0.73
2025-12-26,0.65
2025-12-27,1.07
2025-12-28,0.87
2025-12-29,0.61
2025-12-30,0.54
2025-12-31,0.61
2026-01-01,0.88
2026-01-02,1.09
2026-01-03,1.07
2026-01-04,0.99
2026-01-05,0.86
2026-01-06,0.68
2026-01-07,0.62
2026-01-08,0.58
2026-01-09,0.94
2026-01-10,0.61
2026-01-11,0.67
2026-01-12,1.02
2026-01-13,0.85
2026-01-14,0.58
2026-01-15,0.71
2026-01-16,0.55
2026-01-17,0.55
2026-01-18,0.74
2026-01-19,0.58
2026-01-20,0.59
2026-01-21,0.98
2026-01-22,0.93
2026-01-23,0.89
2026-01-24,0.71
2026-01-25,1.09
2026-01-26,0.83
2026-01-27,1.1
2026-01-28,0.99
2026-01-29,0.87
2026-01-30,1.24
2026-01-31,1.06
2026-02-01,0.87
2026-02-02,1.13
2026-02-03,0.86
2026-02-04,0.79
2026-02-05,1.1
