date,mean
2025-10-28,1.4
2025-10-29,1.45
2025-10-30,1.34
2025-10-31,0.94
2025-11-01,0.98
2025-11-02,1.49
2025-11-03,1.76
2025-11-04,1.93
2025-11-05,1.66
2025-11-06,1.18
2025-11-07,1.18
2025-11-08,1.31
2025-11-09,1.3
2025-11-10,0.87
2025-11-11,1.33
2025-11-12,1.29
2025-11-13,1.29
2025-11-14,0.83
2025-11-15,0.78
2025-11-16,0.78
2025-11-17,0.89
2025-11-18,1.24
2025-11-19,0.9
2025-11-20,1.09
2025-11-21,1.28
2025-11-22,1.17
2025-11-23,0.84
2025-11-24,0.79
2025-11-25,1.14
2025-11-26,0.97
2025-11-27,1.06
2025-11-28,0.88
2025-11-29,0.79
2025-11-30,1.13
2025-12-01,1.12
2025-12-02,1.12
2025-12-03,0.75
2025-12-04,0.96
2025-12-05,0.56
2025-12-06,0.86
2025-12-07,0.84
2025-12-08,0.87
2025-12-09,0.8
2025-12-10,0.69
2025-12-11,0.72
2025-12-12,0.52
2025-12-13,1.16
2025-12-14,1.2
2025-12-15,0.56
2025-12-16,1.12
2025-12-17,0.75
2025-12-18,0.84
2025-12-19,0.91
2025-12-20,0.64
2025-12-21,0.54
2025-12-22,0.57
2025-12-23,0.7
2025-12-24,0.72
2025-12-25,0.74
2025-12-26,0.67
2025-12-27,1.21
2025-12-28,1.02
2025-12-29,0.77
2025-12-30,0.66
2025-12-31,0.77
2026-01-01,0.85
2026-01-02,1.14
2026-01-03,0.86
2026-01-04,1.04
2026-01-05,1.23
2026-01-06,1.11
2026-01-07,0.65
2026-01-08,0.48
2026-01-09,0.96
2026-01-10,0.66
2026-01-11,0.54
2026-01-12,0.86
2026-01-13,0.8
2026-01-14,0.64
2026-01-15,0.6
2026-01-16,0.58
2026-01-17,0.64
2026-01-18,0.86
2026-01-19,1
2026-01-20,0.66
2026-01-21,0.94
2026-01-22,0.79
2026-01-23,0.73
2026-01-24,0.86
2026-01-25,0.88
2026-01-26,0.84
2026-01-27,1.2
2026-01-28,1.51
2026-01-29,0.85
2026-01-30,1.28
2026-01-31,1.27
2026-02-02,0.62
