date,mean
2025-10-28,0.84
2025-10-29,0.99
2025-10-30,1.44
2025-10-31,1.31
2025-11-01,1.19
2025-11-02,0.94
2025-11-03,1.27
2025-11-04,2.29
2025-11-05,1.22
2025-11-06,1.49
2025-11-07,1.49
2025-11-08,0.97
2025-11-09,1.05
2025-11-10,0.87
2025-11-11,1.64
2025-11-12,1.56
2025-11-13,1.56
2025-11-14,0.81
2025-11-15,1.06
2025-11-16,1.06
2025-11-17,1.07
2025-11-18,0.93
2025-11-19,0.88
2025-11-20,0.93
2025-11-21,0.72
2025-11-22,0.52
2025-11-23,0.76
2025-11-24,0.92
2025-11-25,0.62
2025-11-26,0.66
2025-11-27,0.56
2025-11-28,0.54
2025-11-29,0.6
2025-11-30,0.64
2025-12-01,0.9
2025-12-02,0.9
2025-12-03,0.54
2025-12-04,0.8
2025-12-05,0.74
2025-12-06,0.82
2025-12-07,1.06
2025-12-08,1.13
2025-12-09,1.03
2025-12-10,0.59
2025-12-11,0.63
2025-12-12,0.68
2025-12-13,0.77
2025-12-14,0.54
2025-12-15,0.63
2025-12-16,0.71
2025-12-17,0.45
2025-12-18,1.03
2025-12-19,0.54
2025-12-20,0.52
2025-12-21,0.49
2025-12-22,0.51
2025-12-23,0.57
2025-12-24,0.81
2025-12-25,0.86
2025-12-26,0.62
2025-12-27,0.59
2025-12-28,0.6
2025-12-29,0.48
2025-12-30,0.45
2025-12-31,0.47
2026-01-01,0.47
2026-01-02,0.81
2026-01-03,0.86
2026-01-04,0.96
2026-01-05,0.71
2026-01-06,0.62
2026-01-07,0.66
2026-01-08,0.59
2026-01-09,0.77
2026-01-10,0.58
2026-01-11,0.75
2026-01-12,1.1
2026-01-13,0.84
2026-01-14,0.57
2026-01-15,0.81
2026-01-16,0.51
2026-01-17,0.51
2026-01-18,0.76
2026-01-19,0.66
2026-01-20,0.61
2026-01-21,1.02
2026-01-22,1.1
2026-01-23,1
2026-01-24,0.74
2026-01-25,1.1
2026-01-26,0.87
2026-01-27,1.16
2026-01-28,1.18
2026-01-29,1.15
2026-01-30,1.46
2026-01-31,1.15
2026-02-01,0.92
