date,minimum,maximum,range,mean,std
2025-04-15,2.700939,2.86345,0.162512,2.801599,0.033479
2025-04-16,1.90346,2.020979,0.117518,1.982589,0.027819
2025-04-17,1.76478,2.39312,0.628338,2.179549,0.152334
2025-04-18,2.145159,2.54744,0.402276,2.40415,0.100414
2025-04-19,2.875449,3.21088,0.335429,3.10225,0.082953
2025-04-20,2.24158,2.34082,0.099236,2.30956,0.024705
2025-04-21,1.271559,1.547399,0.275844,1.4397,0.068305
2025-04-22,2.47685,3.08483,0.607972,2.85347,0.151391
2025-04-23,2.52534,3.80852,1.283169,3.36361,0.322037
2025-04-24,2.372809,3.957609,1.5848,3.375799,0.393505
2025-04-25,2.164149,2.879679,0.715538,2.61069,0.178754
2025-04-26,3.00705,4.03247,1.025419,3.66176,0.255522
2025-04-27,3.371309,4.348539,0.977232,4.001269,0.243643
2025-04-28,4.789969,4.857679,0.067719,4.826479,0.016865
2025-04-29,2.108279,2.691699,0.583419,2.45775,0.145704
2025-04-30,2.06549,2.653909,0.588422,2.415309,0.122979
2025-05-01,2.83587,3.46145,0.625584,3.23036,0.155772
2025-05-02,2.27793,2.699209,0.421276,2.54167,0.099529
2025-05-05,2.165139,2.60469,0.439545,2.44737,0.109452
2025-05-07,2.07219,2.821749,0.749559,2.538729,0.186789
2025-05-10,2.796829,3.424639,0.627811,3.198339,0.156485
2025-05-14,2.923909,3.613719,0.689814,3.33923,0.164835
2025-05-15,3.20278,4.01443,0.81165,3.692889,0.194817
2025-05-16,2.68107,4.166309,1.485229,3.57347,0.360401
2025-05-17,2.823699,4.39151,1.5678,3.77407,0.376897
2025-05-18,2.422499,2.93051,0.508005,2.75284,0.127048
2025-05-19,2.943639,3.790139,0.846503,3.489259,0.211682
2025-05-20,2.97567,4.149069,1.1734,3.68191,0.281818
2025-05-21,2.78688,4.104589,1.31771,3.567579,0.318022
2025-05-22,3.190609,4.675079,1.48448,4.09462,0.361732
2025-05-23,3.141249,4.81954,1.678279,4.17912,0.40885
2025-05-24,2.92968,4.837779,1.9081,4.095799,0.46312
2025-05-25,3.00177,4.44492,1.44315,3.87378,0.348134
2025-05-26,2.857219,4.18964,1.332419,3.670089,0.318852
2025-05-27,3.08749,4.6816,1.59411,4.058909,0.384057
2025-05-28,3.015899,4.868999,1.853099,4.161389,0.450848
2025-05-29,3.227869,5.251719,2.023849,4.454339,0.489003
2025-05-30,3.010119,4.975279,1.96516,4.211979,0.476081
2025-05-31,2.77037,4.72305,1.952679,3.995419,0.488081
2025-06-01,2.60559,4.01514,1.409549,3.506809,0.352068
2025-06-02,2.73164,3.918529,1.18689,3.462889,0.29664
2025-06-03,2.791409,3.75457,0.963162,3.396039,0.235131
2025-07-06,3.17961,5.051249,1.871639,4.34313,0.468014
2025-07-07,3.06048,4.82277,1.76229,4.178599,0.440975
2025-07-08,3.1421,5.3371,2.194999,4.515639,0.549073
2025-07-09,3.358659,4.86626,1.507599,4.303289,0.37836
2025-07-10,2.80586,3.822,1.016139,3.472399,0.256208
2025-07-11,2.041079,2.66769,0.626609,2.4291,0.157016
2025-07-12,2.763289,3.863379,1.1001,3.40297,0.275947
